Book,Author(s),Original language,First published,Approximate sales,Genre
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million[51],
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million [52],
A Message to Garcia,Elbert Hubbard,English,1899,40 million[41],
To Kill a Mockingbird,Harper Lee,English,1960,40 million[53],
Flowers in the Attic,V. C. Andrews,English,1979,40 million[54],
Cosmos,Carl Sagan,English,1980,40 million [55],
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 million[56],
Angels & Demons,Dan Brown,English,2000,39 million[57],
Kane and Abel,Jeffrey Archer,English,1979,37 million[58],
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR[59],
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36.0 million copies in Russia[59],
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 million[60],
Your Erroneous Zones,Wayne Dyer,English,1976,35 million[61][62],
The Thorn Birds,Colleen McCullough,English,1977,33 million[63],
The Purpose Driven Life,Rick Warren,English,2002,33 million[64],
The Kite Runner,Khaled Hosseini,English,2003,31.5 million[65],
Valley of the Dolls,Jacqueline Susann,English,1966,31 million[66],
The Great Gatsby,F. Scott Fitzgerald,English,1925,30 million[67],
Gone with the Wind,Margaret Mitchell,English,1936,30 million[68],
Rebecca,Daphne du Maurier,English,1938,30 million[69],
Nineteen Eighty-Four,George Orwell,English,1949,30 million[70],
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million[71],
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million[72],
The Lost Symbol,Dan Brown,English,2009,30 million[73],
The Hunger Games,Suzanne Collins,English,2008,29 million in U.S.[74],
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR[59],
Who Moved My Cheese?,Spencer Johnson,English,1998,26 million,
A Brief History of Time,Stephen Hawking,English,1988,25 million[75],
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million[76],
Lust for Life,Irving Stone,English,1934,25 million[77],
The Wind in the Willows,Kenneth Grahame,English,1908,25 million[78],
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million[79],
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24 million copies in USSR[59],
The Celestine Prophecy,James Redfield,English,1993,23 million[80],
The Fault in Our Stars,John Green,English,2012,23 million[81],
The Shack,William P. Young,English,2007,22 million[82],
Uncle Styopa (Дядя Степа),Sergey Mikhalkov,Russian,1936,21 million copies in USSR[59],
The Godfather,Mario Puzo,English,1969,21 million[83],
Love Story,Erich Segal,English,1970,21 million[84],
Catching Fire,Suzanne Collins,English,2009,21 million in U.S.[74],
Mockingjay,Suzanne Collins,English,2010,20 million in U.S.[74],
Kitchen,Banana Yoshimoto,Japanese,1988,20 million [85],
Andromeda Nebula,Ivan Yefremov,Russian,1957,20 million[86],
Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20 million[87],
Gone Girl,Gillian Flynn,English,2012,20 million[88],
The Girl on the Train,Paula Hawkins,English,2015,20 million[89],
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20 million[90],
The Bermuda Triangle,Charles Berlitz,English,1974,20 million[91],
Things Fall Apart,Chinua Achebe,English,1958,20 million[92],
Animal Farm,George Orwell,English,1945,20 million[93],
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 million[94],
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million[95],
Jaws,Peter Benchley,English,1974,20 million[96],
Love You Forever,Robert Munsch,English,1986,20 million[97],
The Women's Room,Marilyn French,English,1977,20 million[98],
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million[99],
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million[100],
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million[101],
Pride and Prejudice,Jane Austen,English,1813,20 million[102][103],
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[104],
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million[105],
Where the Wild Things Are,Maurice Sendak,English,1963,20 million[106],
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[107],
The Secret,Rhonda Byrne,English,2006,20 million[108],
Fear of Flying,Erica Jong,English,1973,20 million[109],
Dune,Frank Herbert,English,1965,20 million[110],
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[111],
The Naked Ape,Desmond Morris,English,1968,20 million[112],
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18 million (in Japan and China)[113],
Matilda,Roald Dahl,English,1988,17 million [114],
The Book Thief,Markus Zusak,English,2005,16 million [115],
The Horse Whisperer,Nicholas Evans,English,1995,16 million[116],
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[117],
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[118],
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in U.S.[119],
The Outsiders,S. E. Hinton,English,1967,15 million[120],
Guess How Much I Love You,Sam McBratney,English,1994,15 million[121],
Shōgun,James Clavell,English,1975,15 million[122],
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[123],
The Pillars of the Earth,Ken Follett,English,1989,15 million[124],
How to Win Friends and Influence People,Dale Carnegie,English,1936,15 million[125],
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[126],
The Grapes of Wrath,John Steinbeck,English,1939,15 million[127],
